canonical_smiles,molecule_chembl_id,standard_value,value,target_chembl_id,pIC50
C[C@]12CCCC[C@H]1Nc1cc3nc(O)cc(C(F)(F)F)c3cc12,CHEMBL351447,2100.0,2100.0,CHEMBL2034,5.6777807052660805
C[C@H]1CC[C@H]2Nc3cc4c(cc3[C@H]2C1)c(C(F)(F)F)cc(=O)n4C,CHEMBL165803,10000.0,10000.0,CHEMBL2034,5.0
CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/Br)Oc1ccc(F)cc1-3,CHEMBL62700,1000.0,1000.0,CHEMBL2034,6.0
CC1=CC(C)(C)Nc2ccc3c(c21)C(=C1SCCCS1)Oc1ccc(F)cc1-3,CHEMBL65929,146.0,146.0,CHEMBL2034,6.835647144215563
CC(=O)C[C@]1(C(C)=O)CC[C@H]2C3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,CHEMBL292284,10.0,10.0,CHEMBL2034,8.0
CC/C(C)=C1\Oc2ccc(F)cc2-c2ccc3c(c21)C(C)=CC(C)(C)N3,CHEMBL62981,324.0,324.0,CHEMBL2034,6.489454989793388
CC(C)=C/C=C1\Oc2ccc(F)cc2-c2ccc3c(c21)C(C)=CC(C)(C)N3,CHEMBL65690,177.0,177.0,CHEMBL2034,6.752026733638194
N#Cc1cc(F)cc(-c2ccc3c(c2)C2(CCCCC2)C(S)=N3)c1,CHEMBL28157,35.0,35.0,CHEMBL2034,7.455931955649724
C[C@@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CSCCN=C=S,CHEMBL48439,440.0,4.4E-7,CHEMBL2034,6.356547323513812
C[C@@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COC(=O)c1c(C(F)(F)F)cccc1C(F)(F)F,CHEMBL52148,770.0,7.7E-7,CHEMBL2034,6.113509274827518
C[C@@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CBr,CHEMBL300409,130.0,1.3E-7,CHEMBL2034,6.886056647693163
C=C1CC[C@@H](Br)C(C)(C)[C@H]1Cc1cc(OC)c(Br)cc1O,CHEMBL51093,10000.0,10000.0,CHEMBL2034,5.0
C=C1C=C(C)CC(C)(C)C1Cc1ccc([N+](=O)[O-])cc1,CHEMBL50023,10000.0,10000.0,CHEMBL2034,5.0
C=C1CCCC(C)(C)[C@H]1Cc1cc(OC)c(Br)cc1O,CHEMBL417729,10000.0,10000.0,CHEMBL2034,5.0
C=C1CC[C@@H](Br)C(C)(C)[C@@H]1Cc1cc(OC)c(Br)cc1O,CHEMBL51639,10000.0,10000.0,CHEMBL2034,5.0
C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,CHEMBL131,13.8,13.8,CHEMBL2034,7.860120913598763
CC(C)(O)[C@H]1CCCC2=Cc3c(cnn3-c3ccc(F)cc3)C[C@@]21C,CHEMBL312041,1.9,1.9,CHEMBL2034,8.721246399047171
CC1(C)O[C@@H]2CC3C4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(SC(CCO)C(=O)O)O1,CHEMBL155725,289.0,289.0,CHEMBL2034,6.539102157243452
COc1cc([C@H](O)[C@H]2CCCC3=Cc4c(cnn4-c4ccc(F)cc4)C[C@@]32C)cc(F)c1F,CHEMBL313062,1.9,1.9,CHEMBL2034,8.721246399047171
CC[C@H]1c2cc3c(C(F)(F)F)cc(=O)oc3cc2NC[C@H]1C,CHEMBL2112311,340.0,340.0,CHEMBL2034,6.468521082957745
CCC[C@@H]1O[C@@H]2CC3C4C[C@H](F)C5=CC(=O)CC[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(S[C@@H]2CCOC2=O)O1,CHEMBL414449,6.4,6.4,CHEMBL2034,8.193820026016112
C[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CCC[C@@H]2[C@@H](O)c1ccccc1,CHEMBL81591,8.4,8.4,CHEMBL2034,8.075720713938118
C[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CCC[C@@H]2[C@](C)(O)c1ccsc1,CHEMBL310570,0.8,0.8,CHEMBL2034,9.096910013008056
C[C@H](O)[C@H]1CCCC2=Cc3c(cnn3-c3ccc(F)cc3)C[C@@]21C,CHEMBL420767,8.8,8.8,CHEMBL2034,8.05551732784983
CCC1CCNc2cc3oc(=O)cc(C(F)(F)F)c3cc21,CHEMBL6843,10000.0,10.0,CHEMBL2034,5.0
CC[C@@H]1c2cc3c(C(F)(F)F)cc(=O)oc3cc2NC[C@H]1C,CHEMBL2112312,2300.0,2300.0,CHEMBL2034,5.638272163982407
C[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CCC[C@@H]2[C@@H](O)c1ccc(F)cc1,CHEMBL79807,6.2,6.2,CHEMBL2034,8.207608310501746
C[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CCC[C@@H]2[C@](C)(O)c1ccc(F)cc1,CHEMBL311662,2.5,2.5,CHEMBL2034,8.602059991327963
CC1CCNc2cc3oc(=O)cc(C(F)(F)F)c3cc21,CHEMBL415289,10000.0,10.0,CHEMBL2034,5.0
CC1(C)CCc2cc3c(C(F)(F)F)cc(=O)oc3cc2N1,CHEMBL7289,10000.0,10.0,CHEMBL2034,5.0
CC1(C)O[C@@H]2CC3C4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(S[C@@H]2CCOC2=O)O1,CHEMBL158091,1.4,1.4,CHEMBL2034,8.853871964321762
C[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CCC[C@@H]2[C@@H](O)Cc1ccc(F)cc1,CHEMBL82546,2.8,2.8,CHEMBL2034,8.55284196865778
C=CC[C@H](O)[C@H]1CCCC2=Cc3c(cnn3-c3ccc(F)cc3)C[C@@]21C,CHEMBL309243,3.9,3.9,CHEMBL2034,8.4089353929735
CC[C@@H]1CNc2cc3oc(=O)cc(C(F)(F)F)c3cc2[C@H]1CC,CHEMBL2112310,2800.0,2800.0,CHEMBL2034,5.552841968657781
CCC1Nc2cc3oc(=O)cc(C(F)(F)F)c3cc2CC1C,CHEMBL6654,10000.0,10.0,CHEMBL2034,5.0
CCC[C@@H]1O[C@@H]2CC3C4C[C@H](F)C5=CC(=O)CC[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(SC(CCO)C(=O)O)O1,CHEMBL347159,400.0,400.0,CHEMBL2034,6.3979400086720375
Cc1cc([C@H](O)[C@H]2CCCC3=Cc4c(cnn4-c4ccc(F)cc4)C[C@@]32C)ccc1F,CHEMBL83110,6.7,6.7,CHEMBL2034,8.173925197299173
CC1=CC(C)(C)Nc2cc3oc(=O)cc(C(F)(F)F)c3cc21,CHEMBL6441,10000.0,10.0,CHEMBL2034,5.0
C[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CCC[C@@H]2[C@@H](O)Cc1ccccc1,CHEMBL310420,4.2,4.2,CHEMBL2034,8.3767507096021
O=c1cc(C(F)(F)F)c2cc3c(cc2o1)NCCC3C(F)(F)F,CHEMBL267270,10000.0,10.0,CHEMBL2034,5.0
COc1ccc(C[C@H](O)[C@H]2CCCC3=Cc4c(cnn4-c4ccc(F)cc4)C[C@@]32C)cc1,CHEMBL79378,6.3,6.3,CHEMBL2034,8.200659450546418
CCCC1CCNc2cc3oc(=O)cc(C(F)(F)F)c3cc21,CHEMBL6855,10000.0,10.0,CHEMBL2034,5.0
C[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CCC[C@@H]2[C@@H](O)c1ccc(Cl)cc1,CHEMBL81111,9.0,9.0,CHEMBL2034,8.045757490560675
C=CCC[C@H](O)[C@H]1CCCC2=Cc3c(cnn3-c3ccc(F)cc3)C[C@@]21C,CHEMBL79335,1.1,1.1,CHEMBL2034,8.958607314841775
C[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CCC[C@@H]2[C@@H](O)c1ccccc1F,CHEMBL310365,7.2,7.2,CHEMBL2034,8.142667503568731
