canonical_smiles,molecule_chembl_id,standard_value,value,target_chembl_id,pIC50,MolWt,LogP,NumHDonors,NumHAcceptors,TPSA,NumRotatableBonds,NumAromaticRings,RingCount,BertzCT,Chi0v,Chi1v,Chi2v,Chi3v,Kappa1,Kappa2,Kappa3,MaxEStateIndex,MinEStateIndex,qed,LabuteASA,fr_NH0,fr_NH1,fr_NH2,fr_C_O,fr_COO,fr_N_O,UMAP1,UMAP2,UMAP3_1,UMAP3_2,UMAP3_3,cluster_label
Brc1cccc(-c2cc(NCc3ccncc3)n3nccc3n2)c1,CHEMBL204054,1800.0,1.8,CHEMBL301,5.7447274948966935,380.249,4.165900000000003,1,5,55.11,4,4,4,981.054839183678,14.3107751363962,8.322854025509896,6.262870149764619,4.1959971459858165,14.836635751585357,6.408980779574549,3.0044142304901795,4.6918559460821365,0.6938665280927186,0.5776234266167141,147.07350134172762,4,1,0,0,0,0,17.067873,1.1966767,8.77705,-5.2223096,9.940264,1
N[C@H]1CC[C@H](Nc2cc(Nc3ccc(S(=O)(=O)c4ccccc4)cc3)n3ncnc3n2)CC1,CHEMBL382607,260.0,0.26,CHEMBL301,6.585026652029182,463.5670000000002,3.382500000000002,3,9,127.3,6,4,5,1346.856086130321,18.7414267277201,12.373579346177904,10.170055255047313,7.651745963026205,21.351191802183116,8.796296296296296,4.52577873254565,12.830444172959522,-3.5656402203298687,0.3970813321144528,191.53998441694745,4,2,1,0,0,0,13.7987175,-0.5471312,8.928834,-5.803667,7.665236,1
CS(=O)(=O)c1ccc(Nc2cc(N[C@H]3CC[C@H](N)CC3)nc3ncnn23)cc1,CHEMBL206659,250.0,0.25,CHEMBL301,6.6020599913279625,401.49600000000015,1.9532,3,9,127.3,5,3,4,1071.0121116760586,16.354675381771973,11.075268179350742,9.191784422519031,6.059025001690742,18.63440903152752,7.361133212023462,4.070848280713146,11.629518247033596,-3.229482812922463,0.5919024600882523,162.84783232528002,4,2,1,0,0,0,13.808516,-0.57113993,8.871781,-5.7922444,7.7091546,1
CN(C)S(=O)(=O)c1ccc(Nc2cc(N[C@H]3CC[C@H](N)CC3)nc3ncnn23)cc1,CHEMBL202695,120.0,0.12,CHEMBL301,6.920818753952375,430.5380000000002,1.7999999999999994,3,9,130.54000000000002,6,3,4,1119.1468477344165,17.80188897727193,11.292673056464231,9.84314557158607,7.110295735026113,20.510261190896102,8.16765414205092,4.225951241040576,12.254518247033596,-3.4702235536632027,0.539564679627783,175.10798562050852,5,2,1,0,0,0,13.759214,-0.58353114,8.922212,-5.83354,7.6491084,1
NS(=O)(=O)c1ccc(Nc2cc(N[C@H]3CC[C@H](N)CC3)nc3ncnn23)cc1,CHEMBL380331,270.0,0.27,CHEMBL301,6.568636235841013,402.48400000000015,1.1971,4,9,153.31999999999996,5,3,4,1072.2353778551676,15.9320256509616,10.557630089145702,8.510315646606136,5.760166510968058,18.596242325995718,7.337650869490356,4.055361706427268,11.407296024811371,-3.729482812922462,0.4963054610422592,161.9581584185246,4,2,2,0,0,0,13.785527,-0.53581965,8.941031,-5.7937245,7.669017,1
CCN(CC)c1cc(Nc2ccc(S(N)(=O)=O)cc2)n2ncnc2n1,CHEMBL203571,400.0,0.4,CHEMBL301,6.3979400086720375,361.431,1.3615,2,8,118.51,6,3,3,978.787448500134,14.732974876519584,9.322904351518853,6.899523034986639,4.710237070716549,17.114375992335443,6.649254688208459,3.5385940832739258,11.34952174932528,-3.714892697373305,0.6802251112969034,145.1041861328433,5,1,1,0,0,0,13.792946,-0.30262437,9.009332,-5.5674458,7.721717,1
NS(=O)(=O)c1ccc(Nc2cc(N[C@H]3CC[C@H](O)CC3)nc3ncnn23)cc1,CHEMBL203573,7400.0,7.4,CHEMBL301,5.130768280269024,403.4680000000001,1.2306999999999997,4,9,147.53,5,3,4,1073.829005898601,15.801888977271933,10.48249564555953,8.404059497485216,5.6850320673818855,18.596242325995718,7.337650869490356,4.055361706427268,11.399483524811371,-3.738371701811351,0.4971447617326653,161.41250147370792,4,2,1,0,0,0,13.797171,-0.4718958,8.94602,-5.73726,7.6981463,1
NS(=O)(=O)c1ccc(Nc2cc(NC3CCCCC3)nc3ncnn23)cc1,CHEMBL203569,730.0,0.73,CHEMBL301,6.136677139879544,387.4690000000001,2.2599,3,8,127.3,5,3,4,1040.834098376752,15.484431893768896,10.407800174884642,8.233545893810488,5.59349984430139,17.681776730506275,7.122532264219973,4.008945850501727,11.394836534070633,-3.7166294493548127,0.6125060597085381,156.61826772151193,4,2,1,0,0,0,13.829835,-0.4743016,8.914005,-5.7722692,7.73427,1
NS(=O)(=O)c1ccc(Nc2cc(OC3CCCCC3)nc3ncnn23)cc1,CHEMBL203407,350.0,0.35,CHEMBL301,6.455931955649724,388.4530000000001,2.2268,2,8,124.5,5,3,4,1042.220920324665,15.39268018423276,10.308951445917277,8.085141756523202,5.4524310736516,17.681776730506275,7.122532264219973,4.008945850501727,11.386572071260716,-3.726629449354813,0.6864223137866166,156.18195076741074,4,1,1,0,0,0,13.811763,-0.3195816,8.994718,-5.6076703,7.7287683,1
NS(=O)(=O)c1ccc(Nc2cc(OCC3CCCCC3)nc3ncnn23)cc1,CHEMBL206109,11000.0,11.0,CHEMBL301,4.958607314841775,402.4800000000001,2.474400000000001,2,8,124.5,6,3,4,1058.6193928828495,16.099786965419305,10.770172610580437,8.522311796145807,5.804483077138803,18.63440903152752,7.722097079502435,4.2280702169297335,11.399785297893413,-3.7283673095585823,0.6487217893965371,162.54689288180734,4,1,1,0,0,0,13.864408,-0.36877328,8.9475565,-5.691657,7.7834682,1
