Time (s),A Concentration (mol/L),I Concentration (mol/L),P Concentration (mol/L),Temperature (K),kf1 (s^-1),kr1 (s^-1),kf2 (s^-1),kr2 (s^-1)
0.0,1.0,0.0,0.0,298.15,0.31059270951016993,0.0005715279797782833,1.2028383335315085,0.00040912784711559475
0.1,0.968940729048983,0.031059270951016994,0.0,298.00153312164906,0.31059270951016993,0.0005715279797782833,1.2028383335315085,0.00040912784711559475
0.2,0.939208623145671,0.05709651911465305,0.0036948577396759825,297.8329174786623,0.3068697118069471,0.0005635434322309329,1.189615089646848,0.000403817720255404
0.30000000000000004,0.9107827771083269,0.07881505404024954,0.010402168851423556,297.64894609861943,0.30269113715180274,0.0005546010473592961,1.1747577997599261,0.00039786419619586825
0.4,0.8836282934681471,0.09683732746798662,0.019534379063866274,297.4536650328506,0.2981916182687491,0.0005449948104770677,1.1587402340901576,0.00039146105568508795
0.5,0.8577005123025221,0.11170746695518038,0.03059202074229747,297.25044207069345,0.29348269898395957,0.0005349673594583079,1.1419556475825836,0.00038476854241553514
0.6000000000000001,0.8329484364125538,0.12389669584022284,0.04315486774722337,297.04204653342117,0.2886548041661782,0.000524714361800135,1.1247236616740008,0.00037791622188943543
0.7000000000000001,0.8093174150978732,0.13381024755195597,0.0568723373501708,296.8307309229092,0.28377980445248663,0.000514390290405219,1.1072991563289574,0.00037100672961747327
0.8,0.786751185306526,0.1417948138733082,0.07145400082016579,296.6183087192938,0.2789137480564519,0.0005041145956236774,1.0898817221435027,0.0003641197705085679
0.9,0.7651933793725592,0.14814590994053,0.08666071068691078,296.40622520718057,0.2740994952875847,0.0004939776557873068,1.0726247749748739,0.0003573159755700705
1.0,0.7445886042321368,0.15311479199105438,0.10229660377680876,296.19561997402917,0.2693691116796588,0.00048404617142414053,1.0556438426695351,0.0003506404018078525
1.1,0.7248831852462316,0.15691473982129792,0.11820207493247034,295.98738084535137,0.2647459569951701,0.00047436785916867133,1.0390238093017736,0.0003441255826538202
1.2000000000000002,0.7060256532388717,0.1597266315715397,0.13424771518958847,295.7821896771246,0.26024645820217934,0.0004649754199629626,1.0228250750623573,0.0003377941119126266
1.3,0.6879670388014849,0.16170381008552975,0.15032915111298514,295.58056076544926,0.2558815834678465,0.00045588982312839244,1.0070886886812698,0.00033166078714028845
1.4000000000000001,0.6706610247042313,0.16297628118827173,0.16636269410749682,295.38287277028184,0.2516580485653728,0.0004471229806211018,0.9918405585498367,0.00032573435949848415
