Time (s),A Concentration (mol/L),I Concentration (mol/L),P Concentration (mol/L),Temperature (K),k1 (s^-1),k2 (s^-1)
0.0,1.0,0.0,0.0,298.15,0.31059270951016993,1.1557149493462144
0.1,0.968940729048983,0.031059270951016994,0.0,297.9272996824736,0.31059270951016993,1.1557149493462144
0.2,0.9393857494583143,0.057083727906895525,0.003530522634790158,297.69850908963997,0.30502360675535795,1.1367049279289525
0.30000000000000004,0.9112607527197921,0.07882977937377997,0.009909467906427964,297.4663559329506,0.2993977368162141,1.117471739414421
0.4,0.8844891296027533,0.09694385087207738,0.01856701952516945,297.2330146982742,0.29378663612072664,1.0982590193092845
0.5,0.8589942434419253,0.11197605867136107,0.029029697886713734,297.0001991743603,0.28824420004210083,1.079251367407547
0.6000000000000001,0.8347010250943567,0.1243932596967015,0.040905715208941956,296.76924389308124,0.2828100250151566,1.0605854021959447
0.7000000000000001,0.8115370440323615,0.13459099267445948,0.05387196329317924,296.5411740093469,0.2775123111820397,1.0423593783016771
0.8,0.7894331848307883,0.142904102953328,0.0676627122158839,296.316764173185,0.2723703047706069,1.0246412964692873
0.9,0.7683240330377007,0.14961601520842896,0.08205995175387057,296.096587465596,0.2673963065995545,1.007475589604923
1.0,0.7481480517115914,0.15496671700809314,0.09688523128031568,295.8810556705883,0.2625972956532426,0.990888542633094
1.1,0.728847610759366,0.15915956694098557,0.11199282229964866,295.6704521694044,0.25797622419881233,0.9748926292698056
1.2000000000000002,0.7103689157132688,0.16236706154873287,0.1272640227379986,295.4649586559843,0.2535330400115441,0.9594899465900366
1.3,0.6926618704013402,0.1647356979006752,0.14260243169798487,295.26467673950305,0.24926548614742322,0.944674912120805
1.4000000000000001,0.6756798985879912,0.16639006129702913,0.15793004011497996,295.0696453526148,0.24516972189488923,0.9304363663931933
1.5,0.6593797425599389,0.1674362553581297,0.17318400208193166,294.87985474071695,0.2412408014818211,0.9167592011232738
1.6,0.643721251326094,0.16796477772191457,0.1883139709519917,294.69525767704187,0.2374730405434245,0.903625611890241
1.7000000000000002,0.6286671671791149,0.16805293049945597,0.2032799023214295,294.5157784342603,0.23386029459128624,0.8910160554146446
1.8,0.6141829164992229,0.16776684147459373,0.2180502420261837,294.34131994609305,0.2303961688485193,0.8789099756164038
1.9000000000000001,0.6002364086055713,0.16716316021805186,0.2326004311763771,294.1717695111472,0.22707417479380826,0.8672863494540346
2.0,0.5867978449745179,0.16629048295953494,0.2469116720659473,294.0070033240719,0.22388784549529153,0.856124092826568
2.1,0.5738395400933518,0.16519055119658105,0.2609699087100673,293.84689006419677,0.22083081920194916,0.8454023582059675
2.2,0.5613357544861709,0.16389926150373826,0.274764984010091,293.69129372714707,0.21789689858504263,0.83510074880779
2.3000000000000003,0.5492625399489224,0.16244751768999935,0.2882899423610784,293.5400758487682,0.2150800913848779,0.8251994686796642
2.4000000000000004,0.5375975966986966,0.16086195117732197,0.3015404521239816,293.3930972415108,0.21237463693246875,0.8156794238117752
2.5,0.5263201419307154,0.159165531085612,0.3145143269836727,293.2502193399254,0.20977502200966353,0.8065222860183813
2.6,0.515410789150206,0.1573780818706128,0.32721112897918125,293.11130523301205,0.20727598872599237,0.7977105287123498
2.7,0.5048514375800306,0.1555167233482628,0.33963183907170663,292.9762204459767,0.2048725364788216,0.7892274416419032
2.8000000000000003,0.4946251709200453,0.15359624544682554,0.35177858363312914,292.8448335217348,0.2025599195875152,0.7810571300567589
2.9000000000000004,0.48471616473728957,0.15162942796707604,0.3636544072956344,292.7170164426878,0.20033364182263808,0.7731845025220118
3.0,0.47510960178765166,0.1496273139260537,0.3752630842862947,292.5926449254071,0.19818944876419697,0.7655952506251565
