Time (s),R Concentration (mol/L),P Concentration (mol/L),Temperature (K),kf (s^-1),kr (s^-1)
0.0,1.0,0.0,298.15,0.28682672187337804,0.000514702027877015
0.1,0.9692163824933647,0.030783617506635243,297.7821269418423,0.3078361750663524,0.000563981972933541
0.2,0.9383707120763448,0.061629287923655185,297.4135123336083,0.3182688557284079,0.0004770342272969759
0.30000000000000004,0.9089620844995099,0.09103791550049015,297.0620707994683,0.3134340050657273,0.0005032469976924412
0.4,0.8834729340713428,0.11652706592865733,296.7574681413879,0.280471919916086,0.0005144745304828796
0.5,0.8580157481545553,0.14198425184544478,296.45324746838617,0.2882181252653177,0.0005239436205754162
0.6000000000000001,0.835583986449229,0.16441601355077104,296.18518148242384,0.26152054542673137,0.0005009667474887272
0.7000000000000001,0.8119167496891553,0.1880832503108448,295.90235121521454,0.2833315299022332,0.00045568336144014216
0.8,0.7914493383269803,0.20855066167301978,295.6577597792421,0.25217908328274397,0.000395080458486815
0.9,0.7715654865586964,0.22843451344130367,295.42014204778553,0.2513502435149333,0.000443375411225009
1.0,0.7523586584535429,0.2476413415464572,295.19061494327843,0.24906121263358516,0.000432310579990785
1.1,0.7336229404226159,0.2663770595773842,294.96671773927596,0.24915081803285574,0.0003779453702987982
1.2000000000000002,0.7157756833039075,0.2842243166960926,294.7534378979912,0.24342471900632956,0.00041064700564802934
1.3,0.6994541678415473,0.3005458321584527,294.55839110709303,0.22818811536455086,0.00040935826548409735
1.4000000000000001,0.6827810682243167,0.3172189317756834,294.3591427847074,0.2385365025301092,0.000380490070026538
1.5,0.6674334500596523,0.3325665499403479,294.1757343458371,0.22496285783883616,0.00039152372985871905
1.6,0.6527495212441147,0.3472504787558855,294.0002571850396,0.2201850095846973,0.00035948426917113956
1.7000000000000002,0.6362337947301553,0.3637662052698449,293.8028895163737,0.2532111206281871,0.0003633475887297013
1.8,0.6221359764128759,0.3778640235871243,293.6344165441309,0.22179645687114777,0.0003744664514351357
1.9000000000000001,0.6087009245417684,0.39129907545823184,293.4738638210058,0.21616723201836854,0.0003569888656255611
2.0,0.5955048598063185,0.4044951401936817,293.316167062695,0.21702274898696539,0.0003611064000025648
2.1,0.5833400339152609,0.4166599660847394,293.17079390434105,0.20449804615792835,0.0003246550683000455
2.2,0.571014228613614,0.4289857713863864,293.02349699586057,0.21155224815008683,0.0003572279709278401
2.3000000000000003,0.559214511575959,0.4407854884240413,292.8824869930205,0.20688404433609867,0.00031833832635407504
2.4000000000000004,0.5479022313290008,0.4520977686709995,292.74730199962954,0.20256789405653639,0.0003541483790058772
2.5,0.5373443586614953,0.462655641338505,292.6211323931823,0.19294240912980606,0.000298275759146331
2.6,0.5270759169841983,0.47292408301580197,292.49842157007885,0.19136977369373706,0.00031784231412677715
2.7,0.5164899643466415,0.4835100356533587,292.37191639993597,0.20112792854286485,0.00031751606164301816
2.8000000000000003,0.5067260643328161,0.49327393566718414,292.25523499441704,0.18935332701326424,0.0003311058053384505
2.9000000000000004,0.4972336874513843,0.5027663125486159,292.1417983682049,0.18763038966497497,0.0003110646615452904
3.0,0.48805111447860455,0.5119488855213957,292.03206398755503,0.18498970475623705,0.0003130347136652072
3.1,0.4796968905736072,0.520303109426393,291.9322286158414,0.17150486570266496,0.0003142926945757224
3.2,0.4713305171164715,0.5286694828835288,291.8322480534951,0.17473943787105342,0.0003041120321994234
3.3000000000000003,0.4628244261538545,0.5371755738461458,291.73059782688637,0.18078721913186405,0.0002830196562205854
3.4000000000000004,0.4546434969396477,0.5453565030603527,291.6328333764298,0.17713590915364727,0.0003230477550703646
3.5,0.4459703556205243,0.554029644379476,291.52918685014964,0.1911473348145717,0.00031626933682627064
3.6,0.4383271247124435,0.5616728752875567,291.43784804866686,0.17173978796074058,0.0002861674133244493
3.7,0.42946443549741364,0.5705355645025866,291.331936370667,0.20253555211465712,0.00026694196348660146
3.8000000000000003,0.4223878721920617,0.5776121278079385,291.247369409561,0.1651525666262648,0.0002831037250397615
3.9000000000000004,0.4147624585191526,0.5852375414808476,291.1562435291486,0.18089969994973165,0.0002695625755805899
4.0,0.4076935604242141,0.5923064395757861,291.07176816950545,0.17085304042202185,0.0002980774970167326
4.1000000000000005,0.4010969058847691,0.5989030941152311,290.99293625579315,0.16224559000396674,0.00030379014201304446
4.2,0.3947985850778385,0.6052014149221617,290.91766951574857,0.15742260848557155,0.00026467238543912677
4.3,0.3881540954846978,0.6118459045153024,290.8382659594252,0.16874161728264186,0.0002875998159199622
4.4,0.3812594547294018,0.6187405452705984,290.755873024969,0.1780471570875415,0.00026693920605034313
4.5,0.3746593017458717,0.6253406982541285,290.6769993038465,0.17350418728580927,0.00024013619875126355
4.6000000000000005,0.36865155500431035,0.6313484449956899,290.60520500722174,0.16075025248738134,0.00023844591787718168
4.7,0.3623759688606524,0.6376240311393478,290.5302099529237,0.17068492642213937,0.0002651501022379307
4.800000000000001,0.35641421696486253,0.6435857830351377,290.45896530789753,0.16498514382262183,0.0002652540904641269
4.9,0.3499536810786115,0.6500463189213888,290.38176005113064,0.1817234216052649,0.00025397104382099243
5.0,0.3444813436792086,0.6555186563207916,290.31636404970374,0.1568446282741192,0.00025379888033038174
5.1000000000000005,0.33940626091052417,0.660593739089476,290.2557153550493,0.14783425935563202,0.00026744718264580286
5.2,0.33409808629071075,0.6659019137092895,290.1922811459215,0.1568962387723766,0.00025707109297909035
5.300000000000001,0.3289458008728232,0.671054199127177,290.13070985746685,0.15469492800231122,0.00024091419813264362
5.4,0.32404179472275085,0.6759582052772494,290.0721055774708,0.14955737253842113,0.0002327802814816508
5.5,0.3189905861486331,0.681009413851367,290.0117421862887,0.15641784998123603,0.0002571684048796704
5.6000000000000005,0.3140549064694856,0.6859450935305146,289.952759398536,0.15523713107092502,0.0002384499209091169
5.7,0.30951889149113804,0.6904811085088621,289.8985527185844,0.1449549388600222,0.00023859049950566454
5.800000000000001,0.304814978973637,0.6951850210263631,289.8423396148858,0.15251283744652658,0.00024110610349084048
5.9,0.2997109128033841,0.7002890871966161,289.78134456027,0.1679737731275077,0.00023052916361430262
6.0,0.29486447804402716,0.705135521955973,289.72342827490485,0.16223439302394832,0.00022714965954745387
6.1000000000000005,0.2904193528022384,0.7095806471977617,289.670307753373,0.1513235697375174,0.00023923484673775495
6.2,0.2859931342100055,0.7140068657899946,289.61741317172584,0.15301687534885203,0.0002492683319419281
6.300000000000001,0.2817260475268028,0.7182739524731973,289.5664202620317,0.1497903484394718,0.0002354940836605277
6.4,0.2777172822638141,0.7222827177361859,289.51851436739753,0.14291906037995744,0.00024554609922241443
6.5,0.27354391670747336,0.7264560832925266,289.46864145204927,0.15086904604383983,0.00022883820637451246
6.6000000000000005,0.26987042059538546,0.7301295794046145,289.42474211992584,0.1348371351178841,0.0002049909695947469
6.7,0.26577991443202786,0.7342200855679721,289.3758593980884,0.15221968391753765,0.00023903769011645072
6.800000000000001,0.2616912639098664,0.7383087360901336,289.32699885169546,0.15446287570807016,0.00022694103617794373
6.9,0.2580252159496793,0.7419747840503207,289.28318852712346,0.14074678336402416,0.00023259108217810024
7.0,0.254206500178522,0.745793499821478,289.23755377842417,0.14870268365823516,0.00024513548916949994
7.1000000000000005,0.25062401234445564,0.7493759876555444,289.1947420213249,0.14157072943948587,0.00021898999911890718
7.2,0.24701127652870097,0.7529887234712991,289.15156879216914,0.14485248435771847,0.00023506580561560026
7.300000000000001,0.24349483016964807,0.756505169830352,289.10954624963745,0.14304625255320966,0.00022520105547447288
7.4,0.23990564495944952,0.7600943550405506,289.06665445697257,0.14807734139398063,0.00021707054923576592
7.5,0.23645001682187916,0.763549983178121,289.02535870963067,0.14476517148397228,0.0002285248609890517
7.6000000000000005,0.23305865718208635,0.7669413428179137,288.9848309892699,0.1441445364244787,0.00022183441576012204
7.7,0.22956583851646215,0.7704341614835379,288.94309080445123,0.15060003118229803,0.00022225217649436823
7.800000000000001,0.2261564746591211,0.773843525340879,288.902347928527,0.1493151876626429,0.00023886231271560594
7.9,0.22298597756244937,0.7770140224375507,288.86445957890135,0.14099549975363745,0.0002352855511533443
8.0,0.2200069509948045,0.7799930490051956,288.8288593570127,0.1343022984670469,0.00020239484947280075
8.1,0.2169734518143623,0.7830265481856378,288.79260817177794,0.13861906080268027,0.00020790584319448825
8.200000000000001,0.21410868769350963,0.7858913123064905,288.7583734188997,0.1328215471517133,0.00021852177643395107
8.3,0.21082347526513404,0.789176524734866,288.71911418815904,0.15425303354184364,0.0002224102721255035
8.4,0.20804683082890824,0.7919531691710918,288.6859324907854,0.13251111169545954,0.0002154254609665473
8.5,0.20522884082955328,0.7947711591704468,288.65225670207417,0.13626024060852823,0.00021290556007960473
8.6,0.2024005964077643,0.7975994035922358,288.6184583700738,0.13867987999253165,0.00022480282191612633
8.700000000000001,0.19979530411839147,0.8002046958816087,288.58732438000004,0.12957532330767071,0.00021715139541600783
8.8,0.19706665603139667,0.8029333439686035,288.5547162527654,0.13740317049435913,0.00020748111909141533
8.9,0.19419134479680256,0.8058086552031977,288.5203554588529,0.14675032105430305,0.00020734310888293974
9.0,0.1913059930308839,0.8086940069691163,288.4858746777114,0.14944892908217847,0.00020869825192083069
9.1,0.1883425313696792,0.811657468630321,288.4504604609188,0.15573716116729944,0.00019641008280710882
9.200000000000001,0.18580962139532559,0.8141903786046746,288.4201914602693,0.1353331353822603,0.00019698648596679517
9.3,0.18346140766430016,0.8165385923357,288.39212963269966,0.12734165310918957,0.00022005546433282838
9.4,0.18081926552319694,0.8191807344768033,288.3605552763289,0.14494724155691985,0.00020918002365192685
9.5,0.17822067922836596,0.8217793207716343,288.32950142481326,0.14466791046037333,0.00021104300752485588
9.600000000000001,0.17561839541869095,0.8243816045813093,288.29840338693475,0.14700755941249807,0.00021532422266795227
9.700000000000001,0.1733966191893805,0.8266033808106197,288.27185252377376,0.12746608924008934,0.00020333759099464457
9.8,0.17113386928923582,0.8288661307107644,288.24481201349477,0.13150222263053227,0.00021115546177105995
9.9,0.16881722278320144,0.8311827772167988,288.2171274233175,0.13632039641005542,0.00019613763227613413
10.0,0.16667271426926786,0.8333272857307323,288.1914999315162,0.12792366589693469,0.0001812271256814288
